time	V(n006)
8.617176890772557e-03	-1.005640e-02
9.007801890772557e-03	-8.850180e-03
9.398426890772558e-03	-6.537941e-03
9.789051890772558e-03	-3.541152e-03
1.017967689077256e-02	-3.353806e-04
1.057030189077256e-02	2.619733e-03
1.096092689077256e-02	4.942010e-03
1.135155189077256e-02	6.372012e-03
1.174217689077256e-02	6.797254e-03
1.213280189077256e-02	6.253930e-03
1.252342689077256e-02	4.908007e-03
1.291405189077256e-02	3.020207e-03
1.330467689077256e-02	9.012277e-04
1.369530189077256e-02	-1.135699e-03
1.408592689077256e-02	-2.818143e-03
1.447655189077256e-02	-3.948102e-03
1.486717689077256e-02	-4.422226e-03
1.525780189077256e-02	-4.237111e-03
1.564842689077256e-02	-3.480341e-03
1.603905189077256e-02	-2.309865e-03
1.642967689077256e-02	-9.256390e-04
1.682030189077256e-02	4.618341e-04
1.721092689077256e-02	1.661451e-03
1.760155189077256e-02	2.525958e-03
1.799217689077256e-02	2.968070e-03
1.838280189077255e-02	2.966819e-03
1.877342689077255e-02	2.564184e-03
1.916405189077255e-02	1.853383e-03
1.955467689077255e-02	9.612223e-04
1.994530189077255e-02	2.749102e-05
2.033592689077255e-02	-8.154879e-04
2.072655189077255e-02	-1.460352e-03
2.111717689077254e-02	-1.837108e-03
2.150780189077254e-02	-1.919238e-03
2.189842689077254e-02	-1.723245e-03
2.228905189077254e-02	-1.302327e-03
2.267967689077254e-02	-7.356007e-04
2.307030189077254e-02	-1.147796e-04
2.346092689077254e-02	4.696294e-04
2.385155189077253e-02	9.406572e-04
2.424217689077253e-02	1.244183e-03
2.463280189077253e-02	1.354220e-03
2.502342689077253e-02	1.273840e-03
2.541405189077253e-02	1.032009e-03
2.580467689077253e-02	6.771646e-04
2.658592689077252e-02	-1.321638e-04
2.697655189077252e-02	-4.711042e-04
2.736717689077252e-02	-7.073871e-04
2.775780189077252e-02	-8.182523e-04
2.814842689077252e-02	-8.003352e-04
2.853905189077252e-02	-6.683016e-04
2.892967689077252e-02	-4.511296e-04
2.971092689077251e-02	8.389128e-05
3.010155189077251e-02	3.229872e-04
3.049217689077251e-02	5.005393e-04
3.088280189077251e-02	5.978631e-04
3.127342689077251e-02	6.090681e-04
3.166405189077251e-02	5.406606e-04
3.205467689077251e-02	4.094816e-04
3.322655189077250e-02	-1.103725e-04
3.361717689077250e-02	-2.423558e-04
3.400780189077250e-02	-3.238166e-04
3.439842689077250e-02	-3.483947e-04
3.478905189077250e-02	-3.181535e-04
3.517967689077250e-02	-2.425010e-04
3.635155189077249e-02	9.782912e-05
3.674217689077249e-02	1.924262e-04
3.713280189077249e-02	2.557413e-04
3.752342689077249e-02	2.819348e-04
3.791405189077249e-02	2.708223e-04
3.830467689077249e-02	2.273682e-04
3.986717689077248e-02	-6.596248e-05
4.025780189077248e-02	-1.154346e-04
4.064842689077248e-02	-1.409933e-04
4.103905189077248e-02	-1.414564e-04
4.182030189077247e-02	-7.951137e-05
4.299217689077247e-02	6.990954e-05
4.377342689077247e-02	1.266547e-04
4.455467689077246e-02	1.191783e-04
4.488949831934389e-02	9.147469e-05
4.522431974791532e-02	6.488109e-05
4.555914117648675e-02	3.939751e-05
4.589396260505817e-02	1.502394e-05
4.622878403362960e-02	-8.239608e-06
4.656360546220103e-02	-3.039314e-05
4.689842689077246e-02	-5.143666e-05
4.767967689077245e-02	-5.387228e-05
4.807030189077245e-02	-3.300869e-05
4.846092689077245e-02	-1.356882e-05
4.885155189077245e-02	4.447333e-06
4.924217689077245e-02	2.103977e-05
4.963280189077245e-02	3.620848e-05
5.002342689077244e-02	4.995347e-05
5.041405189077244e-02	6.227475e-05
5.086048046220101e-02	5.275567e-05
5.130690903362958e-02	4.252222e-05
5.175333760505815e-02	3.157440e-05
5.219976617648672e-02	1.991221e-05
5.264619474791529e-02	7.535637e-06
5.309262331934386e-02	-5.555305e-06
5.353905189077243e-02	-1.936062e-05
5.409708760505814e-02	-1.016555e-05
5.465512331934386e-02	-1.571289e-06
5.521315903362957e-02	6.422176e-06
5.577119474791528e-02	1.381484e-05
5.632923046220099e-02	2.060670e-05
5.688726617648671e-02	2.679777e-05
5.744530189077242e-02	3.238803e-05
5.833815903362956e-02	1.932426e-05
5.923101617648670e-02	1.032234e-05
6.012387331934385e-02	5.382263e-06
6.101673046220099e-02	4.504033e-06
6.190958760505814e-02	7.687648e-06
6.280244474791528e-02	1.493311e-05
6.369530189077242e-02	2.624042e-05
6.447655189077243e-02	2.095270e-05
6.525780189077245e-02	1.745091e-05
6.603905189077246e-02	1.573506e-05
6.682030189077247e-02	1.580514e-05
6.760155189077248e-02	1.766115e-05
6.838280189077249e-02	2.130310e-05
6.916405189077250e-02	2.673098e-05
6.955467689077251e-02	2.799153e-05
6.994530189077251e-02	2.886323e-05
7.033592689077252e-02	2.934609e-05
7.072655189077252e-02	2.944011e-05
7.111717689077253e-02	2.914528e-05
7.150780189077253e-02	2.846161e-05
7.189842689077254e-02	2.738909e-05
7.307030189077256e-02	2.699806e-05
7.362833760505828e-02	2.879784e-05
7.418637331934400e-02	3.048652e-05
7.474440903362972e-02	3.206410e-05
7.530244474791545e-02	3.353058e-05
7.586048046220117e-02	3.488596e-05
7.641851617648689e-02	3.613025e-05
7.697655189077261e-02	3.726343e-05
7.792521260505834e-02	3.760355e-05
7.887387331934406e-02	3.817259e-05
7.982253403362979e-02	3.897057e-05
8.077119474791553e-02	3.999747e-05
8.171985546220126e-02	4.125331e-05
8.266851617648698e-02	4.273807e-05
8.361717689077271e-02	4.445176e-05
8.439842689077272e-02	4.466588e-05
8.517967689077273e-02	4.495500e-05
8.596092689077274e-02	4.531914e-05
8.674217689077275e-02	4.575830e-05
8.752342689077276e-02	4.627247e-05
