time	V(n006)
8.232691601658420e-03	-4.994894e-01
8.349879101658417e-03	-4.761494e-01
8.467066601658415e-03	-4.464573e-01
8.584254101658412e-03	-4.107682e-01
8.701441601658410e-03	-3.695159e-01
8.818629101658407e-03	-3.232071e-01
8.935816601658405e-03	-2.724147e-01
9.053004101658402e-03	-2.177704e-01
9.170191601658400e-03	-1.599559e-01
9.287379101658397e-03	-9.969485e-02
9.404566601658395e-03	-3.774266e-02
9.482691601658393e-03	4.114761e-03
9.599879101658390e-03	6.715026e-02
9.717066601658388e-03	1.297801e-01
9.834254101658385e-03	1.912157e-01
9.951441601658383e-03	2.506834e-01
1.006862910165838e-02	3.074334e-01
1.018581660165838e-02	3.607498e-01
1.030300410165838e-02	4.099591e-01
1.042019160165837e-02	4.544389e-01
1.053737910165837e-02	4.936257e-01
1.065456660165837e-02	5.270212e-01
1.077175410165837e-02	5.541990e-01
1.088894160165836e-02	5.748094e-01
1.100612910165836e-02	5.885837e-01
1.112331660165836e-02	5.953373e-01
1.124050410165836e-02	5.949717e-01
1.135769160165835e-02	5.874758e-01
1.147487910165835e-02	5.729252e-01
1.159206660165835e-02	5.514818e-01
1.170925410165835e-02	5.233912e-01
1.182644160165834e-02	4.889793e-01
1.194362910165834e-02	4.486487e-01
1.206081660165834e-02	4.028729e-01
1.217800410165834e-02	3.521910e-01
1.229519160165833e-02	2.972006e-01
1.241237910165833e-02	2.385506e-01
1.252956660165833e-02	1.769331e-01
1.264675410165833e-02	1.130752e-01
1.276394160165832e-02	4.772966e-02
1.284206660165832e-02	3.719418e-03
1.287554874451546e-02	-1.522798e-02
1.290903088737261e-02	-3.412820e-02
1.294251303022975e-02	-5.298122e-02
1.297599517308689e-02	-7.178706e-02
1.300947731594403e-02	-9.054572e-02
1.304295945880117e-02	-1.092572e-01
1.307644160165832e-02	-1.279215e-01
1.312108445880117e-02	-1.526744e-01
1.316572731594403e-02	-1.770872e-01
1.321037017308688e-02	-2.011598e-01
1.325501303022974e-02	-2.248922e-01
1.329965588737260e-02	-2.482845e-01
1.334429874451545e-02	-2.713366e-01
1.338894160165831e-02	-2.940485e-01
1.342800410165831e-02	-3.135018e-01
1.346706660165831e-02	-3.325035e-01
1.350612910165831e-02	-3.510537e-01
1.354519160165831e-02	-3.691524e-01
1.358425410165831e-02	-3.867995e-01
1.362331660165830e-02	-4.039951e-01
1.366237910165830e-02	-4.207392e-01
1.377956660165830e-02	-4.675304e-01
1.389675410165830e-02	-5.090060e-01
1.401394160165830e-02	-5.446855e-01
1.413112910165829e-02	-5.741563e-01
1.424831660165829e-02	-5.970793e-01
1.436550410165829e-02	-6.131918e-01
1.448269160165829e-02	-6.223106e-01
1.459987910165828e-02	-6.243341e-01
1.471706660165828e-02	-6.192426e-01
1.483425410165828e-02	-6.070989e-01
1.495144160165828e-02	-5.880467e-01
1.506862910165827e-02	-5.623091e-01
1.518581660165827e-02	-5.301855e-01
1.530300410165827e-02	-4.920476e-01
1.536438803022970e-02	-4.696129e-01
1.542577195880112e-02	-4.459169e-01
1.548715588737255e-02	-4.209596e-01
1.554853981594398e-02	-3.947409e-01
1.560992374451541e-02	-3.672609e-01
1.567130767308684e-02	-3.385196e-01
1.573269160165826e-02	-3.085169e-01
1.579407553022969e-02	-2.775177e-01
1.585545945880112e-02	-2.459140e-01
1.591684338737254e-02	-2.137060e-01
1.597822731594397e-02	-1.808935e-01
1.603961124451540e-02	-1.474767e-01
1.610099517308683e-02	-1.134555e-01
1.616237910165825e-02	-7.882991e-02
1.627956660165825e-02	-1.264977e-02
1.639675410165825e-02	5.365029e-02
1.645255767308682e-02	8.524159e-02
1.650836124451539e-02	1.164156e-01
1.656416481594396e-02	1.471723e-01
1.661996838737253e-02	1.775117e-01
1.667577195880110e-02	2.074338e-01
1.673157553022967e-02	2.369386e-01
1.678737910165824e-02	2.660260e-01
1.682086124451538e-02	2.830783e-01
1.685434338737252e-02	2.998328e-01
1.688782553022966e-02	3.162896e-01
1.692130767308681e-02	3.324486e-01
1.695478981594395e-02	3.483099e-01
1.698827195880109e-02	3.638734e-01
1.702175410165823e-02	3.791392e-01
1.706639695880109e-02	3.989743e-01
1.711103981594395e-02	4.180870e-01
1.715568267308680e-02	4.364774e-01
1.720032553022966e-02	4.541455e-01
1.724496838737252e-02	4.710913e-01
1.728961124451537e-02	4.873149e-01
1.733425410165823e-02	5.028161e-01
1.738447731594394e-02	5.192695e-01
1.743470053022965e-02	5.345898e-01
1.748492374451537e-02	5.487769e-01
1.753514695880108e-02	5.618310e-01
1.758537017308679e-02	5.737520e-01
1.763559338737251e-02	5.845399e-01
1.768581660165822e-02	5.941947e-01
1.773045945880108e-02	6.017235e-01
1.777510231594393e-02	6.082640e-01
1.781974517308679e-02	6.138162e-01
1.786438803022964e-02	6.183801e-01
1.790903088737250e-02	6.219557e-01
1.795367374451536e-02	6.245429e-01
1.799831660165821e-02	6.261418e-01
1.807644160165821e-02	6.264998e-01
1.811550410165821e-02	6.255168e-01
1.815456660165821e-02	6.237774e-01
1.819362910165821e-02	6.212816e-01
1.823269160165821e-02	6.180295e-01
1.827175410165821e-02	6.140209e-01
1.831081660165821e-02	6.092561e-01
1.834987910165821e-02	6.037348e-01
1.840568267308678e-02	5.945066e-01
1.846148624451534e-02	5.838821e-01
1.851728981594392e-02	5.718611e-01
1.857309338737249e-02	5.584438e-01
1.862889695880106e-02	5.436300e-01
1.868470053022963e-02	5.274198e-01
1.874050410165820e-02	5.098132e-01
1.877956660165820e-02	4.967571e-01
1.881862910165820e-02	4.831463e-01
1.885769160165819e-02	4.689808e-01
1.889675410165819e-02	4.542607e-01
1.893581660165819e-02	4.389860e-01
1.897487910165819e-02	4.231566e-01
1.901394160165819e-02	4.067726e-01
1.908648624451533e-02	3.747824e-01
1.915903088737247e-02	3.416178e-01
1.923157553022961e-02	3.072790e-01
1.930412017308676e-02	2.717659e-01
1.937666481594390e-02	2.350784e-01
1.944920945880104e-02	1.972167e-01
1.952175410165818e-02	1.581807e-01
1.956081660165818e-02	1.370344e-01
1.959987910165818e-02	1.157984e-01
1.963894160165818e-02	9.447256e-02
1.967800410165818e-02	7.305690e-02
1.971706660165818e-02	5.155142e-02
1.975612910165818e-02	2.995613e-02
1.979519160165817e-02	8.271025e-03
1.991237910165817e-02	-5.647229e-02
2.002956660165817e-02	-1.204941e-01
2.009095053022960e-02	-1.537406e-01
2.015233445880103e-02	-1.862651e-01
2.021371838737245e-02	-2.180676e-01
2.027510231594388e-02	-2.491482e-01
2.033648624451530e-02	-2.795068e-01
2.039787017308673e-02	-3.091435e-01
2.045925410165816e-02	-3.380582e-01
2.048715588737245e-02	-3.507800e-01
2.051505767308673e-02	-3.632624e-01
2.054295945880102e-02	-3.755055e-01
2.057086124451530e-02	-3.875093e-01
2.059876303022959e-02	-3.992737e-01
2.062666481594387e-02	-4.107989e-01
2.065456660165816e-02	-4.220847e-01
2.070478981594387e-02	-4.417806e-01
2.075501303022958e-02	-4.604985e-01
2.080523624451529e-02	-4.782385e-01
2.085545945880101e-02	-4.950004e-01
2.090568267308672e-02	-5.107844e-01
2.095590588737244e-02	-5.255905e-01
2.100612910165815e-02	-5.394185e-01
2.105635231594386e-02	-5.521325e-01
2.110657553022957e-02	-5.636939e-01
2.115679874451529e-02	-5.741029e-01
2.120702195880100e-02	-5.833594e-01
2.125724517308672e-02	-5.914635e-01
2.130746838737243e-02	-5.984151e-01
2.135769160165814e-02	-6.042142e-01
2.139675410165814e-02	-6.078674e-01
2.143581660165814e-02	-6.107859e-01
2.147487910165814e-02	-6.129697e-01
2.151394160165814e-02	-6.144187e-01
2.155300410165814e-02	-6.151331e-01
2.159206660165814e-02	-6.151128e-01
2.163112910165814e-02	-6.143578e-01
2.174831660165813e-02	-6.076934e-01
2.178179874451527e-02	-6.045766e-01
2.181528088737242e-02	-6.009411e-01
2.184876303022956e-02	-5.967870e-01
2.188224517308670e-02	-5.921141e-01
2.191572731594384e-02	-5.869226e-01
2.194920945880099e-02	-5.812124e-01
2.198269160165813e-02	-5.749835e-01
2.203849517308670e-02	-5.634177e-01
2.209429874451527e-02	-5.505824e-01
2.215010231594384e-02	-5.364777e-01
2.220590588737241e-02	-5.211035e-01
2.226170945880098e-02	-5.044599e-01
2.231751303022955e-02	-4.865468e-01
2.237331660165812e-02	-4.673643e-01
2.241237910165812e-02	-4.532928e-01
2.245144160165812e-02	-4.387368e-01
2.249050410165812e-02	-4.236966e-01
2.252956660165812e-02	-4.081720e-01
2.256862910165812e-02	-3.921630e-01
2.260769160165811e-02	-3.756697e-01
2.264675410165811e-02	-3.586920e-01
2.271371838737240e-02	-3.284278e-01
2.278068267308668e-02	-2.973341e-01
2.284764695880097e-02	-2.654109e-01
2.291461124451525e-02	-2.326582e-01
2.298157553022953e-02	-1.990761e-01
2.304853981594382e-02	-1.646645e-01
2.311550410165810e-02	-1.294235e-01
2.314898624451524e-02	-1.117486e-01
2.318246838737239e-02	-9.402523e-02
2.321595053022953e-02	-7.625331e-02
2.324943267308667e-02	-5.843285e-02
2.328291481594381e-02	-4.056384e-02
2.331639695880096e-02	-2.264630e-02
