Freq.	V(n006)
1.44543977074592e+02	(-2.53446370192090e+00dB,-9.75272552599768e+01∞)
1.47910838816820e+02	(-1.28507919779596e+00dB,-1.06239223238278e+02∞)
1.51356124843620e+02	(-1.71787481527481e-01dB,-1.16063241450894e+02∞)
1.54881661891248e+02	(7.42334945451045e-01dB,-1.26788726989318e+02∞)
1.58489319246111e+02	(1.40926634923342e+00dB,-1.37987410588305e+02∞)
1.62181009735892e+02	(1.81697697258566e+00dB,-1.49098937196371e+02∞)
1.65958690743755e+02	(1.99530984150363e+00dB,-1.59604900046657e+02∞)
1.69824365246174e+02	(2.00142922287738e+00dB,-1.69173280867715e+02∞)
1.73780082874937e+02	(1.89755302031943e+00dB,-1.77688655971818e+02∞)
1.77827941003892e+02	(1.73559918914914e+00dB,1.74806462101025e+02∞)
1.81970085860998e+02	(1.55229930131765e+00dB,1.68189646133274e+02∞)
1.86208713666286e+02	(1.37076374206670e+00dB,1.62315404752657e+02∞)
1.90546071796324e+02	(1.20409804595749e+00dB,1.57045332421027e+02∞)
1.94984459975804e+02	(1.05879883409735e+00dB,1.52259949205548e+02∞)
1.99526231496887e+02	(9.37270135818349e-01dB,1.47860963394342e+02∞)
2.04173794466952e+02	(8.39499141401638e-01dB,1.43769476290986e+02∞)
2.08929613085403e+02	(7.64112018159911e-01dB,1.39922935548655e+02∞)
2.13796208950222e+02	(7.09018802386347e-01dB,1.36272057823998e+02∞)
2.18776162394954e+02	(6.71799839630460e-01dB,1.32778157659353e+02∞)
2.23872113856833e+02	(6.49934152982524e-01dB,1.29410974578426e+02∞)
2.29086765276776e+02	(6.40932682254007e-01dB,1.26146957322781e+02∞)
2.34422881531991e+02	(6.42414881871670e-01dB,1.22967924817347e+02∞)
2.39883291901948e+02	(6.52151868274218e-01dB,1.19860021901766e+02∞)
2.45470891568502e+02	(6.68089928608340e-01dB,1.16812899321166e+02∞)
2.51188643150957e+02	(6.88362502581151e-01dB,1.13819061686612e+02∞)
