Freq.	V(n006)
4.78630092322638e+01	2.63507707957686e-03,-8.09554686181260e-04
4.89778819368445e+01	2.89690026918201e-03,-9.13909066955307e-04
5.01187233627271e+01	3.18511667483863e-03,-1.03203462628244e-03
5.12861383991364e+01	3.50244112276354e-03,-1.16580887547846e-03
5.24807460249772e+01	3.85187514410294e-03,-1.31737683532623e-03
5.37031796370252e+01	4.23673817736255e-03,-1.48919140780257e-03
5.49540873857623e+01	4.66070224806143e-03,-1.68406029273597e-03
5.62341325190348e+01	5.12783050768987e-03,-1.90520060364162e-03
5.75439937337156e+01	5.64262004935723e-03,-2.15630256042728e-03
5.88843655355588e+01	6.21004945282918e-03,-2.44160390779235e-03
6.02559586074357e+01	6.83563154525770e-03,-2.76597703816444e-03
6.16595001861481e+01	7.52547189319079e-03,-3.13503120103544e-03
6.30957344480192e+01	8.28633356250476e-03,-3.55523267437868e-03
6.45654229034654e+01	9.12570868997292e-03,-4.03404638102221e-03
6.60693448007595e+01	1.00518973948497e-02,-4.58010318213933e-03
6.76082975391980e+01	1.10740945088711e-02,-5.20339800808485e-03
6.91830970918935e+01	1.22024845007179e-02,-5.91552514070292e-03
7.07945784384136e+01	1.34483447905997e-02,-6.72995840153511e-03
7.24435960074988e+01	1.48241573550791e-02,-7.66238580535155e-03
7.41310241300916e+01	1.63437280577980e-02,-8.73111050966523e-03
7.58577575029182e+01	1.80223124303409e-02,-9.95753276056906e-03
7.76247116628690e+01	1.98767455554101e-02,-1.13667311759935e-02
7.94328234724279e+01	2.19255721056613e-02,-1.29881663453949e-02
8.12830516164097e+01	2.41891702219660e-02,-1.48565356566086e-02
8.31763771102669e+01	2.66898594144339e-02,-1.70128158758643e-02
8.51138038202374e+01	2.94519775036536e-02,-1.95055398176083e-02
8.70963589956078e+01	3.25019039898042e-02,-2.23923661175112e-02
8.91250938133743e+01	3.58679959428778e-02,-2.57420175390120e-02
9.12010839355907e+01	3.95803857302311e-02,-2.96366845288367e-02
9.33254300796988e+01	4.36705648652601e-02,-3.41750183196987e-02
9.54992586021433e+01	4.81706407128836e-02,-3.94758735147570e-02
9.77237220955808e+01	5.31120961298915e-02,-4.56830058137074e-02
9.99999999999997e+01	5.85237960733370e-02,-5.29709884439832e-02
1.02329299228075e+02	6.44288536560183e-02,-6.15526824552284e-02
1.04712854805090e+02	7.08397656442813e-02,-7.16886807444448e-02
1.07151930523760e+02	7.77509137750327e-02,-8.36992374520371e-02
1.09647819614318e+02	8.51270399550383e-02,-9.79792743741226e-02
1.12201845430196e+02	9.28855405465042e-02,-1.15017077221194e-01
1.14815362149688e+02	1.00869233286370e-01,-1.35417149452620e-01
1.17489755493953e+02	1.08804400164598e-01,-1.59927145839433e-01
1.20226443461741e+02	1.16236084578754e-01,-1.89467366384499e-01
1.23026877081238e+02	1.22428465071947e-01,-2.25157930854933e-01
1.25892541179416e+02	1.26212492119036e-01,-2.68331423176075e-01
1.28824955169313e+02	1.25756761781056e-01,-3.20503561337384e-01
1.31825673855640e+02	1.18235201556109e-01,-3.83244408060552e-01
1.34896288259165e+02	9.93806159817482e-02,-4.57837917729613e-01
1.38038426460288e+02	6.29833278319509e-02,-5.44532340749547e-01
1.41253754462275e+02	5.96991976298181e-04,-6.41098514886310e-01
1.44543977074592e+02	-9.78454923855631e-02,-7.40488183957687e-01
1.47910838816820e+02	-2.41189518624985e-01,-8.28063472117942e-01
1.51356124843620e+02	-4.30758692821582e-01,-8.80717619487174e-01
1.54881661891248e+02	-6.52298582803513e-01,-8.72303270894729e-01
1.58489319246111e+02	-8.73878057394954e-01,-7.87191091522133e-01
1.62181009735892e+02	-1.05770404964991e+00,-6.33049462533796e-01
